Product ID,Product Name,Product URL,Image URL,Price
20906376,Washington Nationals MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906376,"http://lf.lids.com/hwl?set=sku[20906376],c[2],w[400],h[300]&load=url[file:product]",25.99
20906374,Texas Rangers MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906374,"http://lf.lids.com/hwl?set=sku[20906374],c[2],w[400],h[300]&load=url[file:product]",25.99
20906370,St. Louis Cardinals MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906370,"http://lf.lids.com/hwl?set=sku[20906370],c[2],w[400],h[300]&load=url[file:product]",25.99
20906368,St. Louis Cardinals MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906368,"http://lf.lids.com/hwl?set=sku[20906368],c[2],w[400],h[300]&load=url[file:product]",25.99
20906349,Minnesota Twins MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906349,"http://lf.lids.com/hwl?set=sku[20906349],c[2],w[400],h[300]&load=url[file:product]",25.99
20906297,Boston Red Sox MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906297,"http://lf.lids.com/hwl?set=sku[20906297],c[2],w[400],h[300]&load=url[file:product]",25.99
20906290,Atlanta Braves MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906290,"http://lf.lids.com/hwl?set=sku[20906290],c[2],w[400],h[300]&load=url[file:product]",25.99
20906287,Arizona Diamondbacks MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906287,"http://lf.lids.com/hwl?set=sku[20906287],c[2],w[400],h[300]&load=url[file:product]",25.99
20906377,Washington Nationals MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906377,"http://lf.lids.com/hwl?set=sku[20906377],c[2],w[400],h[300]&load=url[file:product]",25.99
20906364,San Francisco Giants MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906364,"http://lf.lids.com/hwl?set=sku[20906364],c[2],w[400],h[300]&load=url[file:product]",25.99
20906361,San Diego Padres MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906361,"http://lf.lids.com/hwl?set=sku[20906361],c[2],w[400],h[300]&load=url[file:product]",25.99
20906358,Pittsburgh Pirates MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906358,"http://lf.lids.com/hwl?set=sku[20906358],c[2],w[400],h[300]&load=url[file:product]",25.99
20906355,Philadelphia Phillies MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906355,"http://lf.lids.com/hwl?set=sku[20906355],c[2],w[400],h[300]&load=url[file:product]",25.99
20906348,Minnesota Twins MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906348,"http://lf.lids.com/hwl?set=sku[20906348],c[2],w[400],h[300]&load=url[file:product]",25.99
20906346,Milwaukee Brewers MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906346,"http://lf.lids.com/hwl?set=sku[20906346],c[2],w[400],h[300]&load=url[file:product]",25.99
20906343,Miami Marlins MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906343,"http://lf.lids.com/hwl?set=sku[20906343],c[2],w[400],h[300]&load=url[file:product]",25.99
20906342,Miami Marlins MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906342,"http://lf.lids.com/hwl?set=sku[20906342],c[2],w[400],h[300]&load=url[file:product]",25.99
20906338,Kansas City Royals MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906338,"http://lf.lids.com/hwl?set=sku[20906338],c[2],w[400],h[300]&load=url[file:product]",25.99
20906335,Houston Astros MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906335,"http://lf.lids.com/hwl?set=sku[20906335],c[2],w[400],h[300]&load=url[file:product]",25.99
20906333,Detroit Tigers MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906333,"http://lf.lids.com/hwl?set=sku[20906333],c[2],w[400],h[300]&load=url[file:product]",25.99
20906331,Colorado Rockies MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906331,"http://lf.lids.com/hwl?set=sku[20906331],c[2],w[400],h[300]&load=url[file:product]",25.99
20906308,Cleveland Indians MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906308,"http://lf.lids.com/hwl?set=sku[20906308],c[2],w[400],h[300]&load=url[file:product]",25.99
20906301,Chicago White Sox MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906301,"http://lf.lids.com/hwl?set=sku[20906301],c[2],w[400],h[300]&load=url[file:product]",25.99
20906295,Baltimore Orioles MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906295,"http://lf.lids.com/hwl?set=sku[20906295],c[2],w[400],h[300]&load=url[file:product]",25.99
20906291,Atlanta Braves MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906291,"http://lf.lids.com/hwl?set=sku[20906291],c[2],w[400],h[300]&load=url[file:product]",25.99
20906378,Washington Nationals MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906378,"http://lf.lids.com/hwl?set=sku[20906378],c[2],w[400],h[300]&load=url[file:product]",25.99
20906372,Texas Rangers MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906372,"http://lf.lids.com/hwl?set=sku[20906372],c[2],w[400],h[300]&load=url[file:product]",25.99
20906371,Tampa Bay Rays MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906371,"http://lf.lids.com/hwl?set=sku[20906371],c[2],w[400],h[300]&load=url[file:product]",25.99
20906369,St. Louis Cardinals MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906369,"http://lf.lids.com/hwl?set=sku[20906369],c[2],w[400],h[300]&load=url[file:product]",25.99
20906360,San Diego Padres MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906360,"http://lf.lids.com/hwl?set=sku[20906360],c[2],w[400],h[300]&load=url[file:product]",25.99
20906357,Pittsburgh Pirates MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906357,"http://lf.lids.com/hwl?set=sku[20906357],c[2],w[400],h[300]&load=url[file:product]",25.99
20906356,Philadelphia Phillies MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906356,"http://lf.lids.com/hwl?set=sku[20906356],c[2],w[400],h[300]&load=url[file:product]",25.99
20906347,Minnesota Twins MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906347,"http://lf.lids.com/hwl?set=sku[20906347],c[2],w[400],h[300]&load=url[file:product]",25.99
20906345,Milwaukee Brewers MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906345,"http://lf.lids.com/hwl?set=sku[20906345],c[2],w[400],h[300]&load=url[file:product]",25.99
20906344,Milwaukee Brewers MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906344,"http://lf.lids.com/hwl?set=sku[20906344],c[2],w[400],h[300]&load=url[file:product]",25.99
20906337,Houston Astros MLB Authentic Collection 59FIFTY Cap,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20906337,"http://lf.lids.com/hwl?set=sku[20906337],c[2],w[400],h[300]&load=url[file:product]",25.99
